                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5376,                 3.1094,                  1.538,                0.03195,                0.99286,                0.56821,                0.26358,                 1.5989,                 2.6628,                 1.2619,                0.00012,                0.00012,                0.00012
                      2,                 1.2137,                 1.9794,                 1.1396,                0.57771,                0.49837,                0.55161,                0.27656,                  1.338,                 2.2623,                 1.3377,             0.00025743,             0.00025743,             0.00025743
                      3,                 1.2361,                 1.3393,                 1.1882,                  0.798,                0.09878,                 0.6559,                0.40092,                 1.1101,                 2.2881,                 1.2089,             0.00039208,             0.00039208,             0.00039208
                      4,                 1.0573,                 1.2063,                 1.1197,                0.91791,                 0.4393,                0.79186,                0.46098,                 1.1529,                 2.1256,                 1.1577,             0.00052396,             0.00052396,             0.00052396
                      5,                 1.1247,                 1.1044,                 1.1318,                0.94078,                0.51062,                0.83094,                 0.5315,                 1.1121,                 2.0473,                 1.1716,             0.00065307,             0.00065307,             0.00065307
                      6,                 1.1258,                 1.1062,                 1.1608,                 0.9264,                0.53571,                 0.8433,                0.49022,                 1.1898,                 2.0954,                 1.1981,             0.00077941,             0.00077941,             0.00077941
                      7,                 1.1739,                  1.107,                 1.1648,                0.90114,                0.48833,                0.73745,                0.48041,                   1.27,                 2.0118,                 1.2559,             0.00090298,             0.00090298,             0.00090298
                      8,                 1.0841,                  1.048,                 1.1399,                0.89213,                0.53169,                0.70553,                0.45535,                 1.3037,                 1.9744,                 1.2904,              0.0010238,              0.0010238,              0.0010238
                      9,                 1.1169,                  1.074,                 1.1171,                0.85184,                0.65708,                0.84888,                0.51757,                 1.1981,                 1.8329,                 1.2646,              0.0011418,              0.0011418,              0.0011418
                     10,                 1.0772,                0.96837,                 1.1134,                0.77574,                0.81429,                0.88809,                 0.6145,                0.98893,                 1.3905,                 1.1638,               0.001257,               0.001257,               0.001257
                     11,                 1.0996,                 1.0789,                  1.128,                0.85517,                0.77857,                0.90093,                0.61326,                   1.06,                  1.515,                 1.1771,              0.0013695,              0.0013695,              0.0013695
                     12,                  1.051,                 1.0799,                 1.1311,                0.83317,                0.89643,                0.93015,                0.66272,                  1.002,                 1.2197,                 1.1828,              0.0014792,              0.0014792,              0.0014792
                     13,                 0.9905,                 0.9501,                 1.0874,                 0.8074,                0.85714,                0.90914,                0.63541,                  1.025,                 1.1715,                 1.1917,              0.0015862,              0.0015862,              0.0015862
                     14,                 1.0883,                 1.0042,                 1.1582,                0.85499,                0.86339,                0.91906,                0.65032,                 1.0312,                 1.1812,                 1.1457,              0.0016903,              0.0016903,              0.0016903
                     15,                 1.0727,                 1.0464,                 1.1205,                0.80859,                0.73929,                0.87998,                 0.6499,                0.97011,                 1.1098,                 1.1525,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.0137,                0.94348,                  1.111,                 0.8265,                0.91786,                0.95169,                0.69053,                0.94844,                0.98354,                  1.172,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0972,                0.96882,                 1.2051,                 0.8807,                0.89642,                0.95949,                 0.7083,                0.95041,                0.96414,                 1.1616,               0.001703,               0.001703,               0.001703
                     18,                 1.0246,                0.93067,                 1.1032,                0.85616,                 0.8928,                0.94115,                0.67896,                0.96557,                 1.0161,                 1.1493,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.0811,                0.94193,                 1.1607,                0.82349,                0.91641,                0.94244,                0.68575,                0.96381,                 1.0445,                  1.205,              0.0016634,              0.0016634,              0.0016634
                     20,                0.99975,                0.91065,                 1.1148,                0.87692,                0.93929,                0.95858,                 0.6949,                0.91467,                 1.0264,                 1.1355,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0247,                0.87877,                 1.1446,                0.87395,                0.94093,                0.95944,                0.70383,                0.91297,                0.99894,                  1.155,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0456,                0.88166,                 1.1048,                0.86181,                   0.95,                0.93695,                 0.6732,                0.95469,                 1.0035,                 1.1558,               0.001604,               0.001604,               0.001604
                     23,                 1.0301,                0.89664,                  1.114,                0.87494,                0.91429,                0.94965,                0.72944,                0.88991,                0.95837,                 1.1466,              0.0015842,              0.0015842,              0.0015842
                     24,                0.98358,                0.90682,                 1.1439,                0.94108,                  0.975,                0.98146,                0.74356,                0.86309,                0.87179,                 1.1441,              0.0015644,              0.0015644,              0.0015644
                     25,                0.92396,                0.86982,                 1.1063,                0.86673,                0.95233,                 0.9429,                0.70076,                0.89299,                0.92774,                  1.142,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.0146,                0.92409,                 1.1358,                0.91432,                0.96786,                0.97646,                0.72194,                0.92312,                0.85418,                 1.1582,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.0336,                 1.0178,                 1.1545,                0.79822,                0.94658,                0.94631,                0.68866,                0.94734,                0.86122,                 1.1898,               0.001505,               0.001505,               0.001505
                     28,                 1.0817,                 1.0621,                 1.1736,                0.86566,                0.94359,                0.96816,                0.72746,                0.92468,                0.84868,                 1.2124,              0.0014852,              0.0014852,              0.0014852
                     29,                0.98443,                0.86423,                 1.1018,                0.91364,                0.94459,                0.97159,                0.75531,                0.84503,                 0.8205,                 1.1406,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.0348,                0.88535,                 1.1078,                0.93016,                0.94286,                0.96723,                0.76465,                0.81142,                0.81965,                 1.1169,              0.0014456,              0.0014456,              0.0014456
                     31,                 0.9485,                 0.8275,                 1.0767,                0.93616,                0.94265,                0.97406,                0.77758,                0.80069,                0.75206,                 1.0948,              0.0014258,              0.0014258,              0.0014258
                     32,                0.93927,                0.78022,                 1.0546,                0.93975,                   0.95,                0.97944,                0.74172,                0.89647,                0.76344,                 1.1263,               0.001406,               0.001406,               0.001406
                     33,                0.97947,                0.79522,                 1.0752,                0.90959,                  0.975,                 0.9795,                0.75538,                0.84451,                0.76491,                 1.1075,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0304,                0.95232,                 1.1201,                0.91713,                0.94859,                0.97561,                0.75912,                0.85058,                0.74876,                 1.0953,              0.0013664,              0.0013664,              0.0013664
                     35,                0.88129,                 0.7762,                 1.0605,                0.93683,                 0.9534,                 0.9773,                0.77532,                0.80899,                0.73158,                 1.0737,              0.0013466,              0.0013466,              0.0013466
                     36,                0.93629,                0.77133,                 1.0849,                0.92782,                0.97143,                0.97389,                0.78382,                 0.7654,                0.70265,                  1.051,              0.0013268,              0.0013268,              0.0013268
                     37,                  0.898,                0.83756,                 1.0478,                0.92814,                0.96867,                 0.9747,                0.79699,                0.73365,                0.69926,                 1.0427,               0.001307,               0.001307,               0.001307
                     38,                0.87165,                0.75981,                 1.0832,                0.91718,                0.97143,                0.97406,                0.80307,                0.73378,                0.73152,                 1.0628,              0.0012872,              0.0012872,              0.0012872
                     39,                0.84204,                0.74605,                 1.0546,                0.92678,                0.96429,                0.96932,                0.77495,                0.75838,                0.73958,                 1.0581,              0.0012674,              0.0012674,              0.0012674
                     40,                0.92925,                0.80484,                 1.0757,                0.89977,                  0.975,                0.96916,                0.75684,                0.82124,                0.76359,                 1.0667,              0.0012476,              0.0012476,              0.0012476
                     41,                0.87675,                0.73657,                  1.045,                0.91258,                0.96071,                0.97169,                0.76929,                0.78401,                0.74092,                 1.0463,              0.0012278,              0.0012278,              0.0012278
                     42,                0.84099,                0.71995,                 1.0315,                0.92758,                0.98571,                0.98076,                0.79453,                0.72811,                0.68595,                 1.0376,               0.001208,               0.001208,               0.001208
